timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
603047157,603046938,3670026,0.013741911,-0.015552861,0.034621093,44.108936,0,0,0,0,10
603048410,603048190,3670026,0.0030892668,-0.028229509,0.06455503,44.045288,0,0,0,0,10
603049811,603049442,3670026,0.04580637,0.000958738,0.034461305,44.094246,0,0,0,0,10
603051054,603050693,3670026,0.004261058,-0.00628506,0.050653324,44.108936,0,0,0,0,10
603052340,603051946,3670026,-0.018642128,-0.00058589544,0.06364955,44.07956,0,0,0,0,10
603053560,603053198,3670026,0.015180019,0.0044208476,0.06130597,44.11383,0,0,0,0,10
603054738,603054450,3670026,0.020932447,0.002396845,0.03723099,44.050182,0,0,0,0,10
603056013,603055702,3670026,-0.018535601,0.019973708,0.04426174,44.069767,0,0,0,0,10
603057225,603056954,3670026,-0.07020093,0.021092236,0.020879183,44.172585,0,0,0,0,10
603058447,603058206,3670026,0.023861924,0.018748654,0.015233281,44.07956,0,0,0,0,10
603059678,603059458,3670026,-0.046125952,-0.010386328,0.051292483,44.1481,0,0,0,0,10
603060936,603060709,3670026,-0.038935415,0.024394555,0.014327806,44.13831,0,0,0,0,10
603062246,603061962,3670026,0.007882956,0.017044231,0.0061252704,44.133415,0,0,0,0,10
603063444,603063213,3670026,-0.09305085,0.020559603,0.0030892668,44.069767,0,0,0,0,10
603064681,603064465,3670026,-0.034834146,0.03669836,-0.018908443,44.10404,0,0,0,0,10
603067187,603066969,3670026,-0.055926383,0.026045715,-0.02828277,44.08935,0,0,0,0,10
603069687,603069473,3670026,-0.10508834,0.036485307,-0.084741786,44.050182,0,0,0,0,10
603072204,603071979,3670026,0.004740427,-0.006764429,-0.054488275,44.04039,0,0,0,0,10
603075968,603075733,3670026,-0.07584683,0.007190535,-0.031531826,44.084454,0,0,0,0,10
603079719,603079498,3670026,-0.07323693,0.034301516,0.0063915867,44.11873,0,0,0,0,10
603083456,603083245,3670026,-0.036804885,-0.027696876,0.022903185,44.123623,0,0,0,0,10
603087213,603087001,3670026,-0.012463594,-0.010918961,0.060400493,44.094246,0,0,0,0,10
603089721,603089505,3670026,0.014647386,-0.026471822,0.048043426,44.084454,0,0,0,0,10
603097231,603097017,3670026,-0.058909122,-0.024820661,0.018908443,44.099144,0,0,0,0,10
603098486,603098269,3670026,-0.0116113825,-0.015180019,-0.014966966,44.074665,0,0,0,0,10
603100996,603100773,3670026,-0.027963191,-0.02199771,-0.016990967,44.08935,0,0,0,0,10
603107248,603107033,3670026,-0.03552657,0.0073503247,-0.035153728,44.011017,0,0,0,0,10
603108508,603108285,3670026,-0.05225122,-0.014487596,-0.04745753,44.07956,0,0,0,0,10
603111011,603110789,3670026,-0.058696073,-0.0030360036,-0.019387813,44.059975,0,0,0,0,10
603116014,603115796,3670026,0.02844256,-0.0050067427,0.0037816889,44.069767,0,0,0,0,10
603118512,603118301,3670026,-0.008948221,0.010652645,0.021358551,44.045288,0,0,0,0,10
603122278,603122056,3670026,-5.3263222e-05,0.0041545313,0.032170985,44.059975,0,0,0,0,10
603126183,603125823,3670026,-0.017257284,0.011558119,0.016564863,44.108936,0,0,0,0,10
603128675,603128317,3670026,-0.0479369,-0.0360592,0.040906154,44.10404,0,0,0,0,10
603132415,603132072,3670026,-0.06897587,0.00079894834,0.005060006,44.08935,0,0,0,0,10
603136140,603135828,3670026,-0.036112465,0.005539375,-0.02231729,44.10404,0,0,0,0,10
603139905,603139589,3670026,-0.011771172,0.02844256,-0.015126755,44.099144,0,0,0,0,10
603142382,603142095,3670026,-0.038722362,0.028389297,-0.0015446334,44.11383,0,0,0,0,10
603146166,603145844,3670026,0.016405072,0.036911413,-0.01688444,44.050182,0,0,0,0,10
603149905,603149600,3670026,-0.047031425,0.01422128,0.0080960095,44.059975,0,0,0,0,10
603153617,603153356,3670026,-0.036751624,0.01304949,0.00042610578,44.074665,0,0,0,0,10
603157322,603157112,3670026,-0.008468852,-0.007403588,0.01768339,44.045288,0,0,0,0,10
603159832,603159616,3670026,-0.021571605,-0.014913702,0.015126755,44.08935,0,0,0,0,10
603166099,603165876,3670026,-0.0030892668,0.0041545313,-0.01885518,44.04039,0,0,0,0,10
603168603,603168380,3670026,-0.045593318,0.015339808,-0.013315805,44.11873,0,0,0,0,10
603171109,603170884,3670026,-0.021358551,0.004314321,-0.018056232,44.064873,0,0,0,0,10
603176118,603175892,3670026,-0.00314253,-0.036751624,-0.022796659,44.050182,0,0,0,0,10
603177367,603177143,3670026,-0.031638354,0.00085221155,-0.004101268,44.099144,0,0,0,0,10
603181119,603180899,3670026,-0.006764429,-0.017470337,0.0046871635,44.006123,0,0,0,0,10
603186117,603185907,3670026,-0.050227217,0.010173275,0.016458336,44.064873,0,0,0,0,10
603188635,603188412,3670026,-0.03723099,0.0073503247,0.02860235,44.069767,0,0,0,0,10
603192378,603192167,3670026,-0.04862932,0.027909929,0.00063915865,44.035496,0,0,0,0,10
603194897,603194671,3670026,-0.0505468,-0.0075101145,0.0080960095,44.0306,0,0,0,0,10
603198650,603198427,3670026,-0.045859635,-0.013209279,-0.022210764,43.996326,0,0,0,0,10
603202393,603202183,3670026,-0.0005326322,-0.017896442,-0.016298546,44.12852,0,0,0,0,10
603206164,603205939,3670026,-0.049960904,0.008948221,-0.008735169,44.01591,0,0,0,0,10
603209914,603209695,3670026,-0.0340352,0.028708877,0.0014913703,44.0306,0,0,0,0,10
603212413,603212199,3670026,-0.010226538,-0.0060187443,0.0175236,43.976746,0,0,0,0,10
603216176,603215955,3670026,-0.00974717,0.01107875,-0.00090547476,44.069767,0,0,0,0,10
603219939,603219712,3670026,-0.008202536,0.028389297,0.026205506,44.050182,0,0,0,0,10
603226234,603225971,3670026,-0.05848302,0.033502568,0.002130529,44.08935,0,0,0,0,10
603227465,603227223,3670026,-0.04697816,0.021518342,0.028708877,44.025703,0,0,0,0,10
603229956,603229727,3670026,-0.026418557,-0.025992453,-0.016245283,44.064873,0,0,0,0,10
603236383,603235986,3670026,-0.07201187,-0.015819177,-0.020772656,44.035496,0,0,0,0,10
603237576,603237241,3670026,-0.032650355,0.012410331,-0.008362326,44.069767,0,0,0,0,10
603241256,603240995,3670026,-0.06924219,-0.0037816889,-0.01587244,44.035496,0,0,0,0,10
603243719,603243504,3670026,-0.0046871635,-0.008415589,-0.0010652645,44.094246,0,0,0,0,10
603248725,603248506,3670026,-0.019920446,-0.021465078,0.043249737,44.069767,0,0,0,0,10
603251219,603251010,3670026,-0.019228023,-0.00074568513,0.017257284,44.084454,0,0,0,0,10
603254979,603254766,3670026,-0.006764429,0.00031957933,0.026205506,44.0306,0,0,0,0,10
603258745,603258523,3670026,-0.04974785,0.0032490566,0.040107206,44.08935,0,0,0,0,10
603261235,603261026,3670026,-0.030466562,-0.004580637,0.00031957933,44.050182,0,0,0,0,10
603265001,603264782,3670026,0.015339808,0.0037284256,-0.0029294773,44.05508,0,0,0,0,10
603268780,603268538,3670026,-0.019707393,0.008948221,-0.019281287,44.035496,0,0,0,0,10
603273782,603273547,3670026,0.012463594,-0.010546118,-0.036005937,44.04039,0,0,0,0,10
603276263,603276050,3670026,-0.07105314,0.010599381,-0.023062976,44.006123,0,0,0,0,10
603278771,603278554,3670026,-0.0022370552,0.0036751623,-0.016990967,44.0306,0,0,0,0,10
603283785,603283563,3670026,-0.004101268,-0.0050067427,0.016564863,44.064873,0,0,0,0,10
603286286,603286067,3670026,-0.03797668,0.00085221155,0.007829694,44.069767,0,0,0,0,10
603290043,603289830,3670026,-0.041545313,-0.015606124,0.044368263,44.074665,0,0,0,0,10
603293798,603293578,3670026,0.014860439,0.0,0.016458336,44.05508,0,0,0,0,10
603296310,603296081,3670026,-0.014807176,0.018961707,0.0072970614,44.069767,0,0,0,0,10
603300073,603299837,3670026,-0.024394555,0.019707393,-0.016724652,44.084454,0,0,0,0,10
603303810,603303593,3670026,-0.018216021,0.019068234,-0.0063383235,44.064873,0,0,0,0,10
603307568,603307349,3670026,-0.02924151,0.02892193,-0.01438107,44.045288,0,0,0,0,10
603311477,603311105,3670026,-0.04346279,0.0030892668,0.0017576864,44.011017,0,0,0,0,10
603315163,603314861,3670026,-0.0700944,-0.008415589,-0.007882956,44.006123,0,0,0,0,10
603317712,603317365,3670026,-0.035100464,0.011132013,0.019654129,44.0306,0,0,0,0,10
603321342,603321121,3670026,-0.071479246,-0.003834952,0.021145498,44.025703,0,0,0,0,10
603326494,603326130,3670026,-0.022743396,0.0015978967,0.041012682,44.064873,0,0,0,0,10
603328937,603328633,3670026,-0.03653857,-0.01257012,-0.009161274,44.04039,0,0,0,0,10
603333946,603333641,3670026,-0.045753106,0.008042746,-0.015020229,44.094246,0,0,0,0,10
603335200,603334893,3670026,-0.06881608,0.015819177,0.0063915867,44.11383,0,0,0,0,10
603338931,603338649,3670026,-0.050866377,0.0049002166,-0.020453077,44.045288,0,0,0,0,10
603343872,603343657,3670026,-0.061039653,-0.011185276,-0.023116238,44.084454,0,0,0,0,10
603346374,603346161,3670026,0.03195793,-0.020133497,-0.006924219,44.099144,0,0,0,0,10
603348875,603348664,3670026,-0.09150621,0.012410331,0.008788432,44.069767,0,0,0,0,10
603352644,603352421,3670026,-0.046658583,-0.022849923,0.0064981133,44.025703,0,0,0,0,10
603356391,603356177,3670026,-0.01257012,-0.028389297,0.025193503,44.059975,0,0,0,0,10
603360144,603359932,3670026,-0.019654129,-0.020240024,0.02663161,44.099144,0,0,0,0,10
