timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
603037938,601072757,1961568,1960411,7215,0
603107843,601140484,1959970,1960411,14772,0
603199811,601237537,1960140,1960409,4251,0
603298561,601336537,1959568,1960406,4895,0
603395852,601433947,1960034,1960404,3729,0
603496137,601533414,1961646,1960407,2143,0
603610093,601646744,1953697,1960407,19296,0
603693721,601731563,1960392,1960407,3521,0
603817610,601852125,1951813,1960407,27337,0
603893799,601931837,1960194,1960405,3526,0
603996097,602034102,1960332,1960405,3315,0
604094160,602130254,1961987,1960409,3828,0
604207886,602237347,1963129,1960409,14812,0
604302864,602340360,1956954,1960409,11086,0
604404764,602441006,1956397,1960409,14713,0
604491893,602529953,1961013,1960410,1843,0
604597974,602635334,1960105,1960408,5060,0
604702868,602740606,1957947,1960400,8613,0
604795793,602832936,1960349,1960399,5006,0
604894231,602931930,1960376,1960399,3841,0
604995437,603032950,1960128,1960397,4708,0
605107532,603143102,1956595,1960397,15662,0
605194854,603232927,1959860,1960395,4123,0
605299488,603336605,1959057,1960390,7639,0
605394916,603432929,1961187,1960392,1586,0
605498396,603536320,1959967,1960390,4206,0
605594953,603632602,1960117,1960389,4456,0
605704779,603738422,1959214,1960389,14279,0
605805794,603843815,1956058,1960389,11835,0
605895951,603933697,1960293,1960388,3910,0
605996150,604034116,1959947,1960386,4161,0
606102401,604139367,1957245,1960386,11566,0
606193801,604231637,1960374,1960385,3564,0
606293980,604330093,1961902,1960389,3954,0
606395494,604432570,1961647,1960392,2543,0
606496506,604534499,1960243,1960391,3512,0
606594795,604632662,1960430,1960390,3396,0
606697685,604735475,1959786,1960388,4837,0
606803482,604840914,1957714,1960379,9697,0
606894026,604930970,1961619,1960382,2863,0
606995318,605031128,1962428,1960387,3514,0
607095192,605132997,1960459,1960387,3460,0
607208497,605245394,1954828,1960387,16544,0
607305529,605342901,1955822,1960387,13603,0
607394645,605430391,1962425,1960392,3647,0
607498255,605535628,1960189,1960391,4861,0
607598167,605636196,1959531,1960388,4869,0
607700204,605737228,1960236,1960387,5469,0
607805684,605843413,1956605,1960387,11324,0
607897976,605934084,1961152,1960388,5470,0
607997739,606035260,1958986,1960384,6975,0
608093808,606131919,1961173,1960385,1415,0
608199473,606237505,1959389,1960382,5148,0
608307120,606344384,1954647,1960382,16172,0
608399502,606437396,1959104,1960377,5987,0
608493807,606531911,1960950,1960378,1877,0
608593910,606631395,1960604,1960378,3812,0
608695785,606733605,1961335,1960380,1675,0
608794598,606832148,1961237,1960382,2416,0
608894095,606931302,1960810,1960383,3955,0
608996125,607033343,1960801,1960384,3948,0
609099054,607136585,1960108,1960382,4709,0
609194806,607232197,1961397,1960384,2408,0
609295535,607333592,1960036,1960383,3803,0
609394877,607432805,1960158,1960381,3816,0
609495256,607532736,1960754,1960382,3522,0
609607002,607644277,1955635,1960382,14174,0
609702289,607739296,1960250,1960381,5469,0
609797894,607835857,1959607,1960378,4844,0
609905038,607942337,1955665,1960378,14065,0
609993988,608031713,1960428,1960377,3684,0
610104124,608139327,1958783,1960377,12020,0
610195429,608232264,1960713,1960378,4893,0
610301380,608336966,1959929,1960376,8958,0
610394566,608432398,1960941,1960377,2437,0
610493592,608530567,1961667,1960380,2700,0
610603080,608637092,1960971,1960380,10027,0
610695077,608732561,1961127,1960382,2767,0
610804234,608839219,1959486,1960382,11051,0
611440391,609478014,1688479,1960382,547781,0
611448273,609485641,1734104,1960382,457047,0
612615718,610653713,1401431,1960382,1121083,0
612621388,610656747,1449835,1960382,1029606,0
612647336,610684940,1485406,1960382,953277,0
612697789,610735924,1959440,1960378,4839,0
612800570,610836383,1959081,1960378,10200,0
612898172,610934317,1961486,1960381,4730,0
612997031,611034223,1959740,1960378,6125,0
613096632,611133151,1961978,1960383,2996,0
613197028,611233566,1960352,1960382,6206,0
613297127,611333923,1959712,1960379,6973,0
613397093,611435072,1959696,1960377,4640,0
613498051,611533483,1961171,1960378,6783,0
613614684,611637772,1966455,1960378,20907,0
613698812,611732580,1963257,1960386,5936,0
613800288,611838176,1958636,1960380,6938,0
613906126,611935952,1963094,1960380,14151,0
614003852,612034401,1963758,1960380,11378,0
614096325,612134411,1960086,1960379,3646,0
614196557,612233706,1961199,1960381,3291,0
