i,timestamp(ns),gain,exposure(ns),format,height,width,frame_id,reserved
0,591947430648,100,232018,0,576,640,17519,0
1,592047415648,100,232018,0,576,640,17522,0
2,592147393648,100,232018,0,576,640,17525,0
3,592247382648,100,232018,0,576,640,17528,0
4,592347377648,100,232018,0,576,640,17531,0
5,592447340648,100,232018,0,576,640,17534,0
6,592547327648,100,232018,0,576,640,17537,0
7,592647330648,100,232018,0,576,640,17540,0
8,592747300648,100,232018,0,576,640,17543,0
9,592847278648,100,232018,0,576,640,17546,0
10,592947271648,100,232018,0,576,640,17549,0
11,593047248648,100,232018,0,576,640,17552,0
12,593147231648,100,232018,0,576,640,17555,0
13,593247216648,100,232018,0,576,640,17558,0
14,593347196648,100,232018,0,576,640,17561,0
15,593447196648,100,232018,0,576,640,17564,0
16,593547168648,100,232018,0,576,640,17567,0
17,593647212648,100,232018,0,576,640,17570,0
18,593747131648,100,232018,0,576,640,17573,0
19,593847134648,100,232018,0,576,640,17576,0
20,593947098648,100,232018,0,576,640,17579,0
21,594047101648,100,232018,0,576,640,17582,0
22,594147061648,100,232018,0,576,640,17585,0
23,594247050648,100,232018,0,576,640,17588,0
24,594347046648,100,232018,0,576,640,17591,0
25,594447009648,100,232018,0,576,640,17594,0
26,594547004648,100,232018,0,576,640,17597,0
27,594646990648,100,232018,0,576,640,17600,0
28,594746972648,100,232018,0,576,640,17603,0
29,594846956648,100,232018,0,576,640,17606,0
30,594946957648,100,232018,0,576,640,17609,0
31,595046921648,100,232018,0,576,640,17612,0
32,595146902648,100,232018,0,576,640,17615,0
33,595246893648,100,232018,0,576,640,17618,0
34,595346884648,100,232018,0,576,640,17621,0
35,595446850648,100,232018,0,576,640,17624,0
36,595546834648,100,232018,0,576,640,17627,0
37,595646815648,100,232018,0,576,640,17630,0
38,595746800648,100,232018,0,576,640,17633,0
39,595846833648,100,232018,0,576,640,17636,0
40,595946762648,100,232018,0,576,640,17639,0
41,596046770648,100,232018,0,576,640,17642,0
42,596146738648,100,232018,0,576,640,17645,0
43,596246736648,100,232018,0,576,640,17648,0
44,596346724648,100,232018,0,576,640,17651,0
45,596446698648,100,232018,0,576,640,17654,0
46,596546678648,100,232018,0,576,640,17657,0
47,596646664648,100,232018,0,576,640,17660,0
48,596746640648,100,232018,0,576,640,17663,0
49,596846721648,100,232018,0,576,640,17666,0
50,596946605648,100,232018,0,576,640,17669,0
51,597046615648,100,232018,0,576,640,17672,0
52,597146572648,100,232018,0,576,640,17675,0
53,597246563648,100,232018,0,576,640,17678,0
54,597346543648,100,232018,0,576,640,17681,0
55,597446522648,100,232018,0,576,640,17684,0
56,597546511648,100,232018,0,576,640,17687,0
57,597646513648,100,232018,0,576,640,17690,0
58,597746474648,100,232018,0,576,640,17693,0
59,597846459648,100,232018,0,576,640,17696,0
60,597946441648,100,232018,0,576,640,17699,0
61,598046429648,100,232018,0,576,640,17702,0
62,598146413648,100,232018,0,576,640,17705,0
63,598246383648,100,232018,0,576,640,17708,0
64,598346388648,100,232018,0,576,640,17711,0
65,598446355648,100,232018,0,576,640,17714,0
66,598546401648,100,232018,0,576,640,17717,0
67,598646320648,100,232018,0,576,640,17720,0
68,598746309648,100,232018,0,576,640,17723,0
69,598846295648,100,232018,0,576,640,17726,0
70,598946287648,100,232018,0,576,640,17729,0
71,599046258648,100,232018,0,576,640,17732,0
72,599146240648,100,232018,0,576,640,17735,0
73,599246227648,100,232018,0,576,640,17738,0
74,599346207648,100,232018,0,576,640,17741,0
75,599446194648,100,232018,0,576,640,17744,0
76,599546174648,100,232018,0,576,640,17747,0
77,599646166648,100,232018,0,576,640,17750,0
78,599746138648,100,232018,0,576,640,17753,0
79,599846127648,100,232018,0,576,640,17756,0
80,599946110648,100,232018,0,576,640,17759,0
81,600046097648,100,232018,0,576,640,17762,0
82,600146142648,100,232018,0,576,640,17765,0
83,600246066648,100,232018,0,576,640,17768,0
84,600346038648,100,232018,0,576,640,17771,0
85,600446072648,100,232018,0,576,640,17774,0
86,600546005648,100,232018,0,576,640,17777,0
87,600645991648,100,232018,0,576,640,17780,0
88,600746122648,100,232018,0,576,640,17783,0
89,600845964648,100,232018,0,576,640,17786,0
90,600945954648,100,232018,0,576,640,17789,0
91,601045929648,100,232018,0,576,640,17792,0
92,601145917648,100,232018,0,576,640,17795,0
93,601245896648,100,232018,0,576,640,17798,0
94,601345873648,100,232018,0,576,640,17801,0
95,601445868648,100,232018,0,576,640,17804,0
96,601545852648,100,232018,0,576,640,17807,0
97,601645828648,100,232018,0,576,640,17810,0
98,601745826648,100,232018,0,576,640,17813,0
99,601845794648,100,232018,0,576,640,17816,0
